,threshold,odd,diff_prob,diff_odd,num_bets,perc,mean_odd,benefits,max_loss,max_wins,money_max_loss
0,50,1.0,0.05,0.1,9489,52.74528401306776,1.8642385920539573,-36213.0,-12500,14500,-28970.4
1,50,1.0,0.05,0.2,8495,53.04296645085345,1.8581789287816362,-32236.0,-12000,13600,-26863.333333333332
2,50,1.0,0.05,0.30000000000000004,7586,53.110993936198255,1.8511178486686,-32743.0,-11800,12900,-27748.30508474576
3,50,1.0,0.05,0.4,6702,53.5810205908684,1.8427021784541928,-27676.0,-10900,12500,-25390.825688073393
4,50,1.0,0.05,0.5,5500,54.054545454545455,1.8324836363636363,-23206.0,-9600,11800,-24172.916666666664
5,50,1.0,0.05,0.6,4855,54.56230690010299,1.825814624098867,-19410.0,-8800,11000,-22056.81818181818
6,50,1.0,0.05,0.7000000000000001,4205,55.196195005945306,1.8167895362663495,-15352.0,-7500,9200,-20469.333333333332
7,50,1.0,0.05,0.8,3430,56.093294460641395,1.8044548104956268,-10386.0,-7000,10000,-14837.142857142857
8,50,1.0,0.05,0.9,2937,56.75859720803541,1.793197139938713,-7555.0,-7000,7800,-10792.857142857143
9,50,1.0,0.1,0.1,9480,52.75316455696203,1.8638755274261603,-36285.0,-12400,13800,-29262.09677419355
10,50,1.0,0.1,0.2,8486,53.052085788357296,1.8577669102050436,-32308.0,-11000,14100,-29370.90909090909
11,50,1.0,0.1,0.30000000000000004,7578,53.12747426761678,1.8506743204011613,-32710.0,-11000,13600,-29736.363636363636
12,50,1.0,0.1,0.4,6694,53.60023902001792,1.8421900209142517,-27643.0,-10900,12500,-25360.550458715596
13,50,1.0,0.1,0.5,5492,54.07865986890022,1.8318445010924982,-23173.0,-9400,11200,-24652.12765957447
14,50,1.0,0.1,0.6,4847,54.59046833092634,1.8250794305756137,-19377.0,-8700,10700,-22272.41379310345
15,50,1.0,0.1,0.7000000000000001,4198,55.21676989042401,1.816038589804669,-15419.0,-7400,9200,-20836.486486486487
