,Sport,League,Year,Prediction,Probability,Odd,Opponent_probability,Opponent_odd,Id_Match,Result
0,beisbol,usa/mlb/,2016,home,0.43933333333333335,1.86,0.339,1.95,00EGjzKH,1.0
1,beisbol,usa/mlb/,2016,away,0.6468333333333334,1.86,0.39299999999999996,1.95,00lGfP9i,1.0
2,beisbol,usa/mlb/,2016,home,0.5448333333333333,0.0,0.4675,0.0,00lNf5Ta,1.0
3,beisbol,usa/mlb/,2016,away,0.5745,2.2,0.43283333333333335,1.7100000000000002,02JMzVII,0.0
4,beisbol,usa/mlb/,2016,home,0.6046666666666667,1.9,0.4871666666666667,1.9,02Nxfezb,1.0
5,beisbol,usa/mlb/,2016,away,0.5411666666666667,1.9,0.4893333333333333,1.9,02REQt1l,0.0
6,beisbol,usa/mlb/,2016,home,0.5486666666666666,1.7400000000000002,0.4448333333333333,2.15,02XEgTT1,1.0
7,beisbol,usa/mlb/,2016,home,0.4995,1.8300000000000003,0.4948333333333334,2.0,02aUqBCj,1.0
8,beisbol,usa/mlb/,2016,away,0.5638333333333333,1.7599999999999998,0.4281666666666667,2.1,04l4Bewf,0.0
9,beisbol,usa/mlb/,2016,away,0.5413333333333333,1.86,0.32333333333333336,1.95,04vo65NF,1.0
10,beisbol,usa/mlb/,2016,away,0.5773333333333334,1.9,0.4876666666666667,1.9,065vCXk6,1.0
11,beisbol,usa/mlb/,2016,away,0.5916666666666667,1.7100000000000002,0.4526666666666666,2.2,069YiThH,0.0
12,beisbol,usa/mlb/,2016,away,0.5745,0.0,0.43283333333333335,0.0,06PHzQnj,1.0
13,beisbol,usa/mlb/,2016,home,0.6066666666666667,1.9,0.4083333333333333,1.9,06PdxB2p,0.0
14,beisbol,usa/mlb/,2016,home,0.5516666666666666,1.47,0.3255,2.75,06Pzkm9P,1.0
15,beisbol,usa/mlb/,2016,away,0.4578333333333333,2.35,0.31833333333333336,1.64,06wc3cJD,1.0
16,beisbol,usa/mlb/,2016,home,0.578,1.8300000000000003,0.478,2.0,08STdnSB,0.0
17,beisbol,usa/mlb/,2016,home,0.5486666666666666,1.57,0.4583333333333334,2.55,08U4Jdd5,1.0
18,beisbol,usa/mlb/,2016,home,0.5618333333333333,2.3,0.4078333333333333,1.66,0APjvxfE,1.0
19,beisbol,usa/mlb/,2016,home,0.534,1.55,0.4578333333333333,2.6,0Aif4BYA,1.0
20,beisbol,usa/mlb/,2016,home,0.5618333333333333,2.05,0.4078333333333333,1.7999999999999998,0AqMClCg,0.0
21,beisbol,usa/mlb/,2016,home,0.44816666666666666,0.0,0.444,0.0,0C04363A,0.0
22,beisbol,usa/mlb/,2016,home,0.5495,1.64,0.476,2.35,0CImAw11,0.0
23,beisbol,usa/mlb/,2016,home,0.5618333333333333,1.66,0.4078333333333333,2.3,0ClUgz6E,1.0
24,beisbol,usa/mlb/,2016,away,0.525,0.0,0.38466666666666666,0.0,0E18oYsP,1.0
25,beisbol,usa/mlb/,2016,home,0.4565,1.9,0.39716666666666667,1.9,0EPJMFfF,1.0
26,beisbol,usa/mlb/,2016,home,0.6819999999999999,1.7999999999999998,0.25566666666666665,2.05,0Ec4WXBQ,1.0
27,beisbol,usa/mlb/,2016,home,0.6668333333333334,1.58,0.5073333333333333,2.5,0EkbND6k,1.0
28,beisbol,usa/mlb/,2016,home,0.5820000000000001,1.7999999999999998,0.5315,2.05,0EmwJWq7,1.0
29,beisbol,usa/mlb/,2016,away,0.6201666666666666,2.0,0.3048333333333333,1.8300000000000003,0EwYhdwi,0.0
30,beisbol,usa/mlb/,2016,away,0.539,2.2,0.4656666666666667,1.7100000000000002,0INQwh3q,1.0
31,beisbol,usa/mlb/,2016,home,0.5823333333333334,2.45,0.3635,1.6,0ImGmWoP,1.0
32,beisbol,usa/mlb/,2016,home,0.5513333333333333,1.8300000000000003,0.3556666666666667,2.0,0KpDQW4a,0.0
33,beisbol,usa/mlb/,2016,away,0.6106666666666667,0.0,0.4526666666666666,0.0,0M5znAcd,1.0
34,beisbol,usa/mlb/,2016,home,0.6663333333333333,0.0,0.33016666666666666,0.0,0MPc7rD5,1.0
35,beisbol,usa/mlb/,2016,home,0.5653333333333334,0.0,0.5113333333333333,0.0,0McfWUpr,1.0
36,beisbol,usa/mlb/,2016,home,0.5379999999999999,1.5,0.4245,2.7,0Mki3D3N,0.0
37,beisbol,usa/mlb/,2016,home,0.7168333333333333,1.66,0.3578333333333333,2.3,0O24lfnP,1.0
38,beisbol,usa/mlb/,2016,home,0.4953333333333334,1.64,0.3675,2.35,0Q3YHXn0,1.0
39,beisbol,usa/mlb/,2016,away,0.4745,0.0,0.456,0.0,0QF9Otm4,0.0
40,beisbol,usa/mlb/,2016,home,0.4731666666666667,2.1,0.3556666666666667,1.7599999999999998,0QcMOxGf,1.0
41,beisbol,usa/mlb/,2016,away,0.5841666666666666,0.0,0.371,0.0,0Qgv91mH,0.0
42,beisbol,usa/mlb/,2016,away,0.6578333333333333,0.0,0.3566666666666667,0.0,0Qsb3043,0.0
43,beisbol,usa/mlb/,2016,away,0.5916666666666667,2.35,0.43233333333333335,1.64,0SlIwXYa,0.0
44,beisbol,usa/mlb/,2016,home,0.6668333333333334,0.0,0.5073333333333333,0.0,0U1dVUAA,1.0
45,beisbol,usa/mlb/,2016,away,0.6018333333333333,2.55,0.5026666666666667,1.57,0UBvUIZq,0.0
46,beisbol,usa/mlb/,2016,home,0.5858333333333333,2.5,0.4345,1.58,0UiM3uN5,0.0
